"Freq [GHz]","dB(S(port1,port1)) [] - rot_carga='60deg'","dB(S(port1,port1)) [] - rot_carga='55deg'","dB(S(port1,port1)) [] - rot_carga='50deg'","dB(S(port1,port1)) [] - rot_carga='45deg'","dB(S(port1,port1)) [] - rot_carga='40deg'","dB(S(port1,port1)) [] - rot_carga='35deg'","dB(S(port1,port1)) [] - rot_carga='30deg'","dB(S(port1,port1)) [] - rot_carga='25deg'","dB(S(port1,port1)) [] - rot_carga='20deg'","dB(S(port1,port1)) [] - rot_carga='15deg'","dB(S(port1,port1)) [] - rot_carga='10deg'"
67,-2.98644046178366,-3.17813378627434,-3.43577088294919,-3.74884673052039,-4.16808796297115,-4.73448177051526,-5.50427204913555,-6.59013610900634,-8.20539990355867,-10.6949646187455,-14.1227544974696
67.5,-3.06578666146942,-3.26394828524734,-3.52643651798139,-3.84975352196305,-4.28268844194356,-4.88690287289197,-5.68106135698574,-6.8418975127393,-8.5559093409082,-11.2753666431553,-14.7381964415463
68,-3.14233427199091,-3.34742318168881,-3.61890988185657,-3.95455082855935,-4.40485830209772,-5.03860028684118,-5.87054067733348,-7.09932089829306,-8.9284868870932,-11.8774191797841,-15.5008710558555
68.5,-3.21615724446993,-3.42841107821924,-3.71091594546982,-4.0599424888048,-4.52963416804387,-5.18872989355044,-6.06580689653989,-7.36002887186536,-9.31476821063771,-12.5030232945313,-16.439334451192
69,-3.28738196297614,-3.50688751402604,-3.80108856403319,-4.16389338487625,-4.6538292483455,-5.33691352480159,-6.26240962746521,-7.6226300170851,-9.71021645155111,-13.1552124412393,-17.5427867103099
69.5,-3.35616321914754,-3.58291652474206,-3.88873382900166,-4.2653196054406,-4.77565356112052,-5.48308814464605,-6.45786606053675,-7.88650714160723,-10.1130141208173,-13.83756322243,-18.7647402660986
70,-3.4226661905196,-3.65661914202454,-3.9736207146179,-4.36380394927508,-4.89433060805964,-5.62738542224443,-6.65113076422801,-8.15159837317238,-10.5231035498863,-14.5540273516303,-20.0421285133627
70.5,-3.4870542241482,-3.72814755560835,-4.05581068050897,-4.45935873295498,-5.00975906246837,-5.77004234502404,-6.84211196556647,-8.41820202701589,-10.9414474630702,-15.3090185269111,-21.3147980305091
71,-3.5494814906496,-3.79766571082428,-4.13552796432703,-4.55224191371111,-5.12223952266484,-5.91133934835869,-7.03127563266557,-8.68681933632271,-11.3695080404525,-16.1076380750156,-22.5357944568316
71.5,-3.61008932569866,-3.8653359240385,-4.21306696774247,-4.642823675549,-5.23226933540559,-6.0515607699909,-7.21934798422624,-8.95803807258636,-11.8089129543063,-16.9559759677764,-23.673019808537
