"Freq [GHz]","dB(S(port1,port1)) [] - tamano_extra='-1mm'","dB(S(port1,port1)) [] - tamano_extra='-0.96mm'","dB(S(port1,port1)) [] - tamano_extra='-0.92mm'","dB(S(port1,port1)) [] - tamano_extra='-0.88mm'","dB(S(port1,port1)) [] - tamano_extra='-0.84mm'","dB(S(port1,port1)) [] - tamano_extra='-0.8mm'","dB(S(port1,port1)) [] - tamano_extra='-0.76mm'","dB(S(port1,port1)) [] - tamano_extra='-0.72mm'","dB(S(port1,port1)) [] - tamano_extra='-0.68mm'","dB(S(port1,port1)) [] - tamano_extra='-0.64mm'","dB(S(port1,port1)) [] - tamano_extra='-0.6mm'","dB(S(port1,port1)) [] - tamano_extra='-0.56mm'","dB(S(port1,port1)) [] - tamano_extra='-0.52mm'","dB(S(port1,port1)) [] - tamano_extra='-0.48mm'","dB(S(port1,port1)) [] - tamano_extra='-0.44mm'","dB(S(port1,port1)) [] - tamano_extra='-0.4mm'","dB(S(port1,port1)) [] - tamano_extra='-0.36mm'","dB(S(port1,port1)) [] - tamano_extra='-0.32mm'","dB(S(port1,port1)) [] - tamano_extra='-0.28mm'","dB(S(port1,port1)) [] - tamano_extra='-0.24mm'","dB(S(port1,port1)) [] - tamano_extra='-0.2mm'","dB(S(port1,port1)) [] - tamano_extra='-0.16mm'","dB(S(port1,port1)) [] - tamano_extra='-0.12mm'","dB(S(port1,port1)) [] - tamano_extra='-0.08mm'","dB(S(port1,port1)) [] - tamano_extra='-0.04mm'","dB(S(port1,port1)) [] - tamano_extra='-0.01mm'","dB(S(port1,port1)) [] - tamano_extra='0mm'"
67,-17.1815291132008,-16.4118365907194,-15.1409908176827,-13.9693350658701,-12.6196689696152,-12.7460462386421,-14.1823757346598,-12.3010270429229,-12.9718605920013,-12.0862153803748,-11.3524024958061,-11.1653586562634,-11.6682787604585,-11.4816702030166,-11.2996358703246,-11.5593164281571,-11.1951053192004,-11.1963558701822,-11.2126282371087,-11.2014351855372,-11.0314714880233,-10.7950417958298,-10.6711860518473,-10.5630419934217,-10.5446648576861,-10.5832247983559,-10.6812406585587
68,-15.8544061935365,-15.2985311410694,-14.0222930706986,-13.974892679062,-12.9992926838595,-13.0594575489969,-14.1099465318502,-12.573901392798,-12.6031277029202,-12.2875795046588,-12.0391399445271,-11.8140164122286,-12.1758981107308,-12.1151688813596,-11.9697730107871,-12.2683980809517,-11.9446171174515,-11.9977566988286,-12.0358769863886,-12.1245993743303,-11.9981458064881,-11.8475456333504,-11.7627365280859,-11.7057444805657,-11.7327105410266,-11.786178090659,-11.9086782568087
69,-14.6728148973387,-14.3017039981257,-13.1653861862392,-13.6242430464298,-13.0325426947686,-13.03346512611,-13.6669755488302,-12.7877899893624,-12.4097453954573,-12.5522923800142,-12.5994039918588,-12.4228040417346,-12.6536706341109,-12.6494730833837,-12.572596028497,-12.86687767186,-12.6842430254762,-12.7685827539962,-12.8222862483988,-12.9730235823249,-12.9292146834962,-12.9063159658299,-12.8725386121271,-12.8924538846492,-12.9744489567308,-13.0745786511753,-13.2187929055663
70,-13.6356338085796,-13.4003816543198,-12.5371857831293,-13.0569014193001,-12.7813583596368,-12.7835111023073,-13.1346866718455,-12.8464127855122,-12.3667572097085,-12.7815884493772,-12.980623999507,-12.9016961033254,-13.0444116972924,-13.137760556353,-13.1431934848768,-13.3778969224355,-13.3457029602078,-13.4885582016631,-13.5705772491465,-13.7668825353197,-13.8240510112455,-13.9186041193231,-13.9764485182826,-14.0969344368207,-14.2583965862485,-14.4469822088456,-14.629422989699
71,-12.719425126967,-12.5737709370397,-12.0398252290072,-12.4240971667418,-12.3679531109124,-12.4302816797502,-12.6522642473021,-12.7531578107672,-12.4167059238693,-12.9272300085315,-13.2030448510784,-13.2450631793301,-13.3692873613329,-13.5807217804993,-13.6736106685902,-13.8514138013803,-13.9456558554454,-14.1768635163336,-14.3064397333357,-14.5473491451227,-14.7104088562195,-14.908181051292,-15.0865109934474,-15.3294435477061,-15.6058464920596,-15.9324520838594,-16.1822467344584
72,-11.9102618328234,-11.8217266797649,-11.5899963451858,-11.8318347168992,-11.9105343998888,-12.064772299999,-12.2666678116461,-12.5666964482261,-12.4959696144588,-12.9911721230909,-13.3223667989192,-13.4936854348374,-13.6654191398771,-13.9687497621424,-14.1548228762454,-14.334279029182,-14.5467047135528,-14.8647379649323,-15.0589974154109,-15.353500099293,-15.6209510095083,-15.9221913291748,-16.2303123507817,-16.6179788561338,-17.0543040437264,-17.5763155021971,-17.9210900634177
73,-11.2160177985953,-11.1659826132185,-11.1570417638702,-11.3349657774594,-11.4906992508878,-11.7421584956606,-11.9831392982032,-12.3585587213167,-12.5602061382534,-13.0042159847833,-13.3953169790968,-13.6961867337179,-13.9556469485306,-14.3089081756127,-14.5985945322113,-14.8623850602345,-15.2136873055576,-15.5800585596806,-15.8512630641429,-16.2139221823054,-16.5825193053742,-16.9960100234491,-17.4376211435174,-17.9959033462155,-18.6489918528715,-19.4386883889992,-19.9036883719394
74,-10.6578997362485,-10.6361539087152,-10.7555096400954,-10.9511583906648,-11.1518803681554,-11.4893640920745,-11.7921653094387,-12.1871772200085,-12.5953918211307,-13.0050245850669,-13.4635777308282,-13.8875144280448,-14.246564744497,-14.6286731042511,-15.0369436841558,-15.4570917143661,-15.9811693371234,-16.3431443239623,-16.7000965942842,-17.1479519133864,-17.6154737731826,-18.1466182105305,-18.7355959626501,-19.4973329000265,-20.442838533699,-21.6059191656603,-22.2323338705792
75,-10.2519462978803,-10.2507738601797,-10.4201470119524,-10.6768129005729,-10.9101152755616,-11.3156114596024,-11.6817718534816,-12.0867471300184,-12.6134465666863,-13.0266316403158,-13.5520945067036,-14.0855386186746,-14.539232983448,-14.9655993684215,-15.5073073151823,-16.1196452328064,-16.8346924942932,-17.1682462629618,-17.6193917214744,-18.1701299431711,-18.737538509748,-19.3844617743524,-20.1498517064811,-21.1580869133042,-22.5033629334128,-24.2200520634376,-25.1069231587378
76,-9.99466830891709,-10.0061072114301,-10.1817760743752,-10.5006257423962,-10.766253235348,-11.2216947384485,-11.6426020745847,-12.0674544920724,-12.6391284878966,-13.0902512994051,-13.6736600783812,-14.2977545786647,-14.8389143811747,-15.3530005448137,-16.0346932727715,-16.8309902336959,-17.7209460925852,-18.0655719515178,-18.6222915286029,-19.2941811410011,-19.9681196500166,-20.7286148884808,-21.70835577045,-23.0195040726433,-24.9262556665291,-27.5538961464018,-28.9618512435598
